N16_L1_relu,16,1,relu,600.6053489453573,5.081404364984463
N16_L1_relu,16,1,relu,595.9438799752818,5.081404364984463
N16_L1_relu,16,1,relu,592.603470691037,5.081404364984463
N8_L2_relu,8,2,relu,556.3936756590169,5.030437921392435
N8_L2_relu,8,2,relu,568.6877601334699,5.030437921392435
N16_L1_relu,16,1,relu,598.7932532816907,5.081404364984463
N8_L1_relu,8,1,relu,534.5912506066511,4.394449154672439
N8_L2_relu,8,2,relu,547.1246009999803,5.030437921392435
N8_L1_relu,8,1,relu,527.2791154649992,4.394449154672439
N8_L2_relu,8,2,relu,506.4671780046479,5.030437921392435
N8_L2_relu,8,2,relu,584.9643385943509,5.030437921392435
N8_L2_relu,8,2,relu,554.6683773014862,5.030437921392435
N16_L1_relu,16,1,relu,603.2032727529312,5.081404364984463
N16_L1_relu,16,1,relu,598.7448320013877,5.081404364984463
N16_L1_relu,16,1,relu,593.7663567790809,5.081404364984463
N16_L1_relu,16,1,relu,592.2763459807119,5.081404364984463
N16_L2_relu,16,2,relu,530.3128346287658,6.07073772800249
N8_L1_relu,8,1,relu,523.8074966095696,4.394449154672439
N16_L1_relu,16,1,relu,591.331801486476,5.081404364984463
N8_L1_relu,8,1,relu,521.2582722025604,4.394449154672439
N8_L1_relu,8,1,relu,524.2076076646528,4.394449154672439
N8_L2_relu,8,2,relu,581.9883006324786,5.030437921392435
N8_L1_relu,8,1,relu,523.5964442305058,4.394449154672439
N8_L2_relu,8,2,relu,553.2728713714649,5.030437921392435
N16_L2_relu,16,2,relu,499.6309504356175,6.07073772800249
N8_L2_relu,8,2,relu,549.347025077694,5.030437921392435
N8_L1_relu,8,1,relu,525.3580191472294,4.394449154672439
N16_L2_relu,16,2,relu,480.2573622170514,6.07073772800249
N8_L2_relu,8,2,relu,572.123580858238,5.030437921392435
N16_L1_relu,16,1,relu,592.7039962153169,5.081404364984463
N16_L2_relu,16,2,relu,438.71102878735377,6.07073772800249
N8_L2_relu,8,2,relu,490.78163915550266,5.030437921392435
